the_geom,cartodb_id,code_rpa,description_rep,latitude,longitude
0101000020E610000094A30051306252C0ACC95356D3C74640,203,RD-TT,Réel,45.561137,-73.534199
0101000020E610000082E7DEC3256652C081221631ECBA4640,204,RD-TT,Réel,45.460333,-73.596055
0101000020E61000003BC61517476452C0BE2EC37FBAC94640,205,RD-TT,Réel,45.576004,-73.566839
0101000020E6100000D02A33A5F56752C0740B5D8940BF4640,206,RD-TT,Réel,45.494157,-73.624368
0101000020E6100000D597A59D9A6252C08D800A4790C64640,207,RD-TT,Réel,45.551278,-73.540687
0101000020E61000006403E962D36652C0A0E1CD1ABCC94640,208,RD-TT,Réel,45.576053,-73.606652
0101000020E61000002A58E36C3A6552C058A835CD3BC44640,209,RD-TT,Réel,45.533075,-73.581691
0101000020E6100000601DC70F956252C0F8A8BF5E61CB4640,210,RD-TT,Réel,45.588909,-73.540348
0101000020E610000088BD50C0766452C05E68AED348C74640,211,RD-TT,En conception,45.55691,-73.569748
0101000020E610000032ACE28DCC6052C0F08AE07F2BCD4640,212,RD-TT,Réel,45.60289,-73.512485
0101000020E610000009FF2268CC6852C03126FDBD14C64640,213,RD-TT,Réel,45.547508,-73.637476
0101000020E61000004489963C9E6652C0EB3BBF2841C34640,214,RD-TT,Réel,45.525426,-73.603408
0101000020E61000009EB47059856352C0588E90813CC34640,215,RD-TT,Réel,45.525284,-73.555014
0101000020E610000024B9FC87F46152C05C02F04FA9CA4640,216,RD-TT,Réel,45.583292,-73.53055
0101000020E610000023111AC1C66852C02E58AA0B78C54640,217,RD-TT,Réel,45.542726,-73.637131
0101000020E6100000EACA67791E6152C02E8CF4A276CD4640,218,RD-TT,Réel,45.605183,-73.517485
0101000020E61000002E73BA2C266052C074B33F506ED54640,219,RD-TT,Réel,45.667429,-73.50233
0101000020E6100000A4367172BF6452C0DA1A118C83C54640,220,RD-TT,Réel,45.543077,-73.574185
0101000020E6100000520FD1E80E6152C033DE567A6DCC4640,221,RD-TT,Réel,45.597091,-73.516535
0101000020E61000006E4F90D8EE6452C058923CD7F7BD4640,222,RD-TT,Réel,45.484126,-73.577078
0101000020E610000023BDA8DDAF6752C08C84B69C4BC54640,223,RD-TT,En conception,45.54137,-73.620109
0101000020E61000009D819197356252C0AEB9A3FFE5C84640,224,RD-TT,Réel,45.569519,-73.534521
0101000020E6100000FF59F3E32F6452C04B732B84D5C24640,225,RD-TT,Réel,45.522141,-73.565423
0101000020E6100000744012F6ED6352C02634492C29BD4640,226,RD-TT,Enlevé,45.477819,-73.561399
0101000020E6100000BD18CA89766452C069E21DE049C74640,227,RD-TT,En conception,45.556942,-73.569735
0101000020E61000007AC6BE64E36652C025917D9065BF4640,228,RD-TT,Réel,45.495287,-73.607629
0101000020E61000009A7CB3CD8D6352C0959A3DD00AC24640,229,RD-TT,Réel,45.515955,-73.55553
0101000020E61000003D450E11376552C03A3DEFC682BE4640,230,RD-TT,Réel,45.488366,-73.581486
0101000020E6100000AEF4DA6CAC6352C03485CE6BECC24640,231,RD-TT,Réel,45.52284,-73.557399
0101000020E61000008A3E1F65C46452C07AA702EE79BE4640,232,RD-TT,Réel,45.488096,-73.574487
0101000020E6100000D1949D7E506152C05C57CC086FCD4640,233,RD-TT,Réel,45.604951,-73.520538
0101000020E61000001ADB6B41EF6452C0B1DD3D40F7BD4640,234,RD-TT,Réel,45.484108,-73.577103
0101000020E610000042B3EBDE8A6452C0983270404BC74640,235,RD-TT,Réel,45.556984,-73.570976
0101000020E6100000978FA4A4876752C0F3AE7AC03CC64640,236,RD-TT,Réel,45.548729,-73.617654
0101000020E61000001D0247020D6452C02AE5B512BABD4640,237,RD-TT,Réel,45.482241,-73.563294
0101000020E61000004D327216F66352C0030B60CAC0C34640,238,RD-TT,Réel,45.529321,-73.561895
0101000020E6100000D270CADC7C6452C00C5872158BBF4640,239,RD-TT,Enlevé,45.496432,-73.570121
0101000020E6100000266DAAEE916652C086AFAF75A9C54640,240,RD-TT,Réel,45.544234,-73.602657
0101000020E6100000596C938AC66952C033A5F5B704C04640,241,RD-TT,Réel,45.500144,-73.652743
0101000020E610000043FE99417C6852C0F7CABC55D7BB4640,242,RD-TT,En conception,45.467509,-73.632584
0101000020E61000008FA9BBB20B6452C0170D198F52BD4640,243,RD-TT,Réel,45.479082,-73.563214
0101000020E61000002D077AA86D6452C097A8DE1AD8BE4640,244,RD-TT,Réel,45.49097,-73.569193
0101000020E61000003C670B08AD6352C0DA39CD02EDC24640,245,RD-TT,Réel,45.522858,-73.557436
0101000020E61000004832AB77B86452C009DE904605C64640,246,RD-TT,Réel,45.547036,-73.573759
0101000020E6100000F4C29D0B236552C094BDA59C2FC64640,247,RD-TT,Réel,45.548328,-73.580264
0101000020E610000088D7F50B766352C07619FED30DC04640,248,RD-TT,Archive,45.500422,-73.55408
0101000020E61000005325CADE526652C032FFE89B34C34640,249,RD-TT,Réel,45.525043,-73.598808
0101000020E6100000272F3201BF6452C0AF5C6F9BA9C24640,250,RD-TT,Réel,45.520801,-73.574158
0101000020E61000006D1CB1169F6252C081E9B46E83C64640,251,RD-TT,Archive,45.550886,-73.54096
0101000020E6100000D787F546AD6452C0F65CA626C1C94640,252,RD-TT,Réel,45.576207,-73.573076
0101000020E610000054AC1A84B96752C035D1E7A38CC64640,253,RD-TT,Réel,45.551167,-73.620698
0101000020E61000001EA7E8482E6452C0AA9D616A4BBD4640,254,RD-TT,Réel,45.478864,-73.565325
0101000020E6100000463F1A4E996052C05396218E75CB4640,255,RD-TT,Réel,45.589525,-73.509357
0101000020E61000007590D783496352C04C6F7F2E1AC64640,256,RD-TT,Réel,45.547674,-73.551362
0101000020E610000034828DEBDF6652C082C476F700C74640,257,RD-TT,Réel,45.554717,-73.607417
0101000020E6100000C0417BF5F16652C0459C4EB2D5C94640,258,RD-TT,Réel,45.576834,-73.608518
0101000020E610000054C6BFCFB86452C0BEF6CC9200C14640,259,RD-TT,Réel,45.50783,-73.57378
0101000020E61000003239B5334C6152C0309B00C3F2CD4640,260,RD-TT,Réel,45.608971,-73.520276
0101000020E61000004694F6065F6952C0629F008A91BF4640,261,RD-TT,En conception,45.496629,-73.646425
0101000020E6100000FE65F7E4616852C00938842A35C14640,262,RD-TT,Réel,45.509435,-73.630975
0101000020E61000000667F0F78B6952C0707D586FD4BE4640,263,RD-TT,Réel,45.490858,-73.649168
0101000020E6100000AF09698D416252C066101FD8F1C54640,264,RD-TT,Réel,45.546443,-73.535251
0101000020E6100000A9C29FE1CD6C52C030F488D173C34640,265,RD-TT,Réel,45.526972,-73.700066
0101000020E61000008B355CE49E6D52C0B130444E5FC34640,266,RD-TT,Enlevé,45.526346,-73.712823
